url,Perfume,Brand,Country,Gender,Rating Value,Rating Count,Year,Top,Middle,Base,Perfumer1,Perfumer2,mainaccord1,mainaccord2,mainaccord3,mainaccord4,mainaccord5
https://www.fragrantica.com/perfume/dior/pure-poison-214.html,pure-poison,dior,France,women,"4,04",15676,2004.0,"jasmine, orange, bergamot, sicilian mandarin","gardenia, orange blossom","sandalwood, white amber, cedar, white musk",unknown,,white floral,citrus,woody,,
https://www.fragrantica.com/perfume/dior/tendre-poison-220.html,tendre-poison,dior,France,women,"4,04",3151,1994.0,"asafoetida, bergamot, brazilian rosewood, mandarin orange","tuberose, honey, orange blossom, freesia, rose","musk, sandalwood, heliotrope, vanilla",edouard fléchier,,white floral,citrus,floral,tuberose,sweet
https://www.fragrantica.com/perfume/dior/sauvage-parfum-56324.html,sauvage-parfum,dior,France,men,"4,04",3846,2019.0,"bergamot, mandarin orange, elemi",sandalwood,"olibanum, tonka bean, vanilla",françois demachy,,citrus,woody,amber,aromatic,vanilla
https://www.fragrantica.com/perfume/dolce-gabbana/dolce-gabbana-pour-femme-intense-18837.html,dolce-gabbana-pour-femme-intense,dolce-gabbana,Italy,women,"4,04",3372,2013.0,"neroli, green mandarin","orange blossom, tuberose","marshmallow, sandalwood",unknown,,white floral,sweet,citrus,powdery,woody
https://www.fragrantica.com/perfume/jo-malone-london/wood-sage-sea-salt-cologne-74041.html,wood-sage-sea-salt-cologne,jo-malone-london,UK,unisex,"4,04",96,2022.0,ambrette (musk mallow),"sea salt, mineral notes",sage,unknown,,musky,salty,aromatic,floral,herbal
https://www.fragrantica.com/perfume/tom-ford/noir-15727.html,noir,tom-ford,USA,men,"4,04",3786,2012.0,"violet, pink pepper, caraway, bergamot, verbena","tuscan iris, bulgarian rose, black pepper, nutmeg, geranium, clary sage","indonesian patchouli leaf, amber, vanilla, civet, leather, opoponax, benzoin, vetiver, styrax",olivier gillotin,,amber,powdery,fresh spicy,woody,violet
https://www.fragrantica.com/perfume/tom-ford/fleur-de-portofino-30677.html,fleur-de-portofino,tom-ford,USA,unisex,"4,04",1118,2015.0,"syringa, tangerine, bergamot, sicilian lemon, orange leaf, violet leaf","black locust, jasmine, magnolia, orange blossom, osmanthus, moroccan rose","black locust honey, civet, ambrette (musk mallow), vanilla, tolu balsam, labdanum",unknown,,white floral,citrus,floral,sweet,honey
https://www.fragrantica.com/perfume/tom-ford/eau-de-jasmin-rouge-66369.html,eau-de-jasmin-rouge,tom-ford,USA,women,"4,04",103,2021.0,"bergamot, citruses","jasmine, watery notes",cardamom,unknown,,white floral,citrus,aquatic,fresh,warm spicy
https://www.fragrantica.com/perfume/tom-ford/tom-ford-for-men-1172.html,tom-ford-for-men,tom-ford,USA,men,"4,04",2313,2007.0,"lemon leaf oil, ginger, mandarin orange, bergamot, basil, violet leaf","tobacco leaf, pepper, tunisian orange blossom, grapefruit blossom","amber, cedar, vetiver, virginian patchouli, oakmoss, leather, cypriol oil or nagarmotha",yves cassar,,citrus,warm spicy,woody,fresh spicy,aromatic
https://www.fragrantica.com/perfume/tom-ford/violet-blonde-12767.html,violet-blonde,tom-ford,USA,women,"4,04",3321,2011.0,"violet leaf, pink pepper, mandarin orange","iris, orris root, jasmine","suede, benzoin, musk, vetiver, virginia cedar",unknown,,iris,powdery,musky,ozonic,woody
